"name","bpm","genre","start time","end time","playtime","deck"
"Moves Like Jagger (R-You Bootleg) (Clean Extended)","126","Tech House","12:47:11 AM CDT","12:50:42 AM CDT","00:03:31","2"
"Bitch Don't Kill My Vibe (Deville Poolside House Edit) Dirty","126","House","12:49:10 AM CDT","12:52:07 AM CDT","00:02:57","1"
"Pour It Up (DJ Nasa VIP Edit) (Clean Extended)","125","Tech House","12:50:42 AM CDT","12:53:47 AM CDT","00:03:05","2"
"Starships (Refresh Epic Intro) (Dirty Extended)","125","Pop","12:52:11 AM CDT","12:56:05 AM CDT","00:03:54","1"
"Shot Busters (Halloween Party Starter) (Dirty) (Extended)","128","House","12:53:47 AM CDT","12:58:40 AM CDT","00:04:53","2"
"Pony","71","R&B/Soul","12:56:05 AM CDT","6:07:30 PM CDT","41:11:25","1"
"Buy U A Drank (Shawty Snappin') (Intro Clean)","80","R&B","12:58:40 AM CDT","6:07:29 PM CDT","41:08:49","2"
"Money Trees (Intro Dirty)","72","Hip Hop","6:07:29 PM CDT","6:23:12 PM CDT","00:15:43","2"
"Nervous (Xan Griffin Remix) (Clean Extended)","124","Dance Pop","6:28:16 PM CDT","6:47:22 PM CDT","00:19:06","2"
"Dynamite (Intro Clean)","120","Pop","6:44:32 PM CDT","6:48:25 PM CDT","00:03:53","1"
"Thriller (Intro Clean)","118","Pop","6:47:22 PM CDT","6:50:59 PM CDT","00:03:37","2"
"Rock Your Body (Ardent Disco Edit) Clean","111","Pop / Top 40 / Disco","6:48:25 PM CDT","6:53:48 PM CDT","00:05:23","1"
"American Boy (Intro Clean)","118","Top 40","6:51:38 PM CDT","6:55:47 PM CDT","00:04:09","2"
"Bed Chem (Dark Intensity Remix) Clean","124","Pop Dance Remix","6:54:16 PM CDT","6:58:17 PM CDT","00:04:01","1"
"My Humps (Refresh Epic Intro) (Clean Extended)","124","Hip Hop","6:55:47 PM CDT","6:59:40 PM CDT","00:03:53","2"
"Don't Stop The Music (Deville Club Quick HItter) Clean - Beat Out","123","Pop/Dance","6:58:17 PM CDT","7:01:36 PM CDT","00:03:19","1"
"On My Mind (Clean Extended)","123","Tech House","6:59:40 PM CDT","7:03:09 PM CDT","00:03:29","2"
"So What (Intro Clean)","120","Hip Hop","7:02:15 PM CDT","7:04:49 PM CDT","00:02:34","1"
"Don't Cha (Remix) (Intro Clean)","120","R&B","7:03:09 PM CDT","7:07:13 PM CDT","00:04:04","2"
"Moves Like Jagger - Sandom Amapiano Remix (Clean)","114","AfroBeat","7:05:41 PM CDT","7:07:44 PM CDT","00:02:03","1"
"Rock The Boat (Onderkoffer Remix) CK Intro - Clean","112","Afrobeats / Amapiano","7:07:13 PM CDT","7:11:50 PM CDT","00:04:37","2"
"Pass That Dutch (Intro Clean)","111","Hip Hop","7:08:17 PM CDT","7:13:16 PM CDT","00:04:59","1"
"About Damn Time (Intro Dirty)","109","Pop","7:11:50 PM CDT","7:14:46 PM CDT","00:02:56","2"
"Hot In Herre (Intro Clean)","107","Hip Hop","7:13:16 PM CDT","7:17:17 PM CDT","00:04:01","1"
